,Séance,VOLUME MC,VOLUME MB,VOLUME INTRODUCTIONS,VOLUME_OFFRES PUBLIQUES,VOLUME TRANSFERTS,VOLUME APPORTS,VOLUME AUG CAPITAL,TOTAL
9,2003-12-18,30226013.4,0.0,0.0,0.0,402.8,0.0,0.0,30226416.2
10,2003-12-17,18550801.2,132000.0,0.0,0.0,83323.9,0.0,0.0,18766125.1
11,2003-12-16,32013359.05,0.0,0.0,0.0,1421.5,0.0,0.0,32014780.55
12,2003-12-15,15160769.28,124800.0,0.0,0.0,0.0,0.0,0.0,15285569.28
13,2003-12-12,17837341.4,220440.0,0.0,0.0,0.0,0.0,0.0,18057781.4
14,2003-12-11,26871516.44,2161000.0,0.0,0.0,0.0,0.0,0.0,29032516.44
15,2003-12-10,22378952.7,279180000.0,0.0,0.0,0.0,0.0,0.0,301558952.7
16,2003-12-09,19359321.39,1070000.0,0.0,0.0,0.0,0.0,0.0,20429321.39
17,2003-12-08,13392059.6,0.0,0.0,0.0,13692.0,0.0,0.0,13405751.6
18,2003-12-05,32141237.8,413275.0,0.0,0.0,0.0,0.0,0.0,32554512.8
19,2003-12-04,14647279.0,3011950.0,0.0,0.0,0.0,0.0,0.0,17659229.0
20,2003-12-03,27450858.75,0.0,0.0,0.0,0.0,0.0,0.0,27450858.75
21,2003-12-02,27620873.88,0.0,0.0,0.0,0.0,0.0,0.0,27620873.88
22,2003-12-01,11233494.05,219819600.0,0.0,0.0,0.0,0.0,0.0,231053094.05
23,2003-11-28,9632533.1,0.0,0.0,0.0,0.0,0.0,0.0,9632533.1
24,2003-11-25,7780834.45,112800.0,0.0,0.0,0.0,0.0,0.0,7893634.45
25,2003-11-24,10329164.0,0.0,0.0,0.0,0.0,0.0,0.0,10329164.0
26,2003-11-21,17773928.6,284906915.0,0.0,0.0,0.0,0.0,0.0,302680843.6
27,2003-11-20,17732942.75,18812420.0,0.0,0.0,0.0,0.0,0.0,36545362.75
28,2003-11-19,15657227.7,0.0,0.0,0.0,0.0,0.0,0.0,15657227.7
29,2003-11-17,25872876.55,0.0,0.0,0.0,0.0,0.0,0.0,25872876.55
30,2003-11-14,12628109.7,5555500.0,0.0,0.0,0.0,0.0,0.0,18183609.7
31,2003-11-13,10646821.15,778560.0,0.0,0.0,0.0,0.0,0.0,11425381.15
32,2003-11-12,7065939.4,0.0,0.0,0.0,0.0,0.0,0.0,7065939.4
33,2003-11-11,8293252.4,60480.0,0.0,0.0,79690.0,0.0,0.0,8433422.4
34,2003-11-10,4570013.3,1018640.0,0.0,0.0,0.0,0.0,0.0,5588653.3
35,2003-11-07,19577601.6,0.0,0.0,0.0,0.0,0.0,0.0,19577601.6
36,2003-11-05,11673628.1,0.0,0.0,0.0,3542.0,0.0,0.0,11677170.1
37,2003-11-04,12222847.6,393236.0,0.0,0.0,0.0,0.0,0.0,12616083.6
38,2003-11-03,8269900.05,4491200.0,0.0,0.0,0.0,0.0,0.0,12761100.05
