Column1;Date;Open;High;Low;Close;Volume;Currency;IS
296;13/03/2003;3096.2;3097.34;3080.34;3080.38;0;MAD;482.12908928210726
297;14/03/2003;3064.84;3066.81;3049.27;3066.77;0;MAD;483.85411951581534
298;17/03/2003;3066.56;3066.56;3056.63;3058.94;0;MAD;487.4260183008748
299;18/03/2003;3042.08;3054.12;3042.08;3052.0;0;MAD;490.96726308172254
300;19/03/2003;3045.23;3049.95;3040.01;3044.87;0;MAD;488.48832467080734
301;20/03/2003;3044.33;3046.17;3036.27;3038.77;0;MAD;488.03562210981494
302;21/03/2003;3038.03;3039.97;3030.85;3031.79;0;MAD;488.5200737014675
303;24/03/2003;3034.7;3036.45;3027.39;3030.34;0;MAD;490.77512793852975
304;25/03/2003;3029.86;3042.6;3029.86;3042.23;0;MAD;495.19151481626454
305;26/03/2003;3039.4;3057.62;3038.98;3057.36;0;MAD;497.6070824394726
306;27/03/2003;3039.21;3046.54;3038.18;3045.77;0;MAD;492.36839459377177
307;28/03/2003;3040.26;3051.85;3038.26;3051.45;0;MAD;489.2950334832463
308;31/03/2003;3051.57;3079.07;3051.57;3079.07;0;MAD;487.4284357600005
309;01/04/2003;3086.79;3104.02;3086.79;3090.21;0;MAD;487.6183539929074
310;02/04/2003;3082.93;3100.19;3082.93;3098.67;0;MAD;490.51175228303794
311;03/04/2003;3094.74;3124.19;3094.74;3119.51;0;MAD;490.18574211254673
312;04/04/2003;3125.52;3133.3;3118.22;3133.3;0;MAD;491.99561390581766
313;07/04/2003;3120.44;3135.81;3120.08;3135.53;0;MAD;492.68635108553764
314;08/04/2003;3135.96;3149.03;3135.12;3141.74;0;MAD;491.90712939536184
315;09/04/2003;3143.39;3153.09;3136.15;3151.63;0;MAD;486.38380347728184
316;10/04/2003;3142.89;3151.99;3142.02;3150.97;0;MAD;486.9789773450347
317;11/04/2003;3150.06;3163.17;3150.06;3161.27;0;MAD;484.71032256437013
318;14/04/2003;3151.25;3162.03;3151.25;3161.61;0;MAD;483.4213375007326
319;15/04/2003;3160.04;3179.55;3158.97;3179.55;0;MAD;485.20836279163063
320;16/04/2003;3188.25;3207.12;3188.25;3207.12;0;MAD;487.4981832456188
321;17/04/2003;3194.41;3223.34;3194.41;3223.34;0;MAD;484.55027060865183
322;18/04/2003;3224.86;3246.76;3224.86;3246.03;0;MAD;485.14808338970835
